participant_id,age,role,task_type,background_noise_type,noise_volume_level,focus_duration_minutes,perceived_focus_score,task_completion_quality,mental_fatigue_after_task
459,18,Professional,Reading,Traffic Noise,3,42,1,7,3
460,28,Remote Worker,Studying,Silence,10,101,1,5,2
461,43,Remote Worker,Coding,Silence,5,10,1,5,8
462,35,Professional,Reading,Songs with Lyrics,5,17,1,9,6
463,43,Professional,Coding,Cafe Noise,6,110,8,9,6
464,23,Remote Worker,Coding,Instrumental Music,8,41,3,9,9
465,16,Professional,Writing,Cafe Noise,10,57,6,6,8
466,18,Student,Writing,Traffic Noise,6,116,3,6,4
467,28,Professional,Coding,Instrumental Music,1,110,5,5,4
468,43,Professional,Coding,Songs with Lyrics,8,13,7,9,9
469,40,Student,Coding,Songs with Lyrics,8,103,2,10,1
470,48,Student,Writing,Instrumental Music,9,79,6,8,2
471,21,Remote Worker,Writing,Silence,9,119,6,7,2
472,47,Remote Worker,Studying,Instrumental Music,2,28,3,7,6
473,36,Student,Studying,Traffic Noise,2,41,6,6,4
474,31,Student,Coding,Silence,3,18,10,5,10
475,36,Remote Worker,Reading,Songs with Lyrics,1,21,10,4,3
476,26,Professional,Reading,Instrumental Music,4,20,5,3,3
477,34,Student,Writing,Cafe Noise,4,55,2,3,3
478,35,Remote Worker,Writing,Cafe Noise,9,25,9,6,6
479,33,Professional,Writing,Traffic Noise,9,10,8,4,8
480,29,Student,Coding,Cafe Noise,9,72,3,6,7
481,30,Professional,Reading,Instrumental Music,10,118,8,3,4
482,46,Remote Worker,Studying,Instrumental Music,7,30,9,4,4
483,16,Student,Coding,Cafe Noise,2,39,3,9,10
484,18,Professional,Studying,Instrumental Music,10,22,3,5,2
485,31,Student,Studying,Traffic Noise,5,43,2,7,1
486,38,Professional,Coding,Silence,4,13,8,10,9
487,26,Remote Worker,Studying,Traffic Noise,8,37,10,2,2
488,27,Remote Worker,Reading,Traffic Noise,2,111,1,5,8
489,25,Student,Studying,Instrumental Music,6,104,8,9,9
490,47,Professional,Reading,Silence,5,68,7,3,4
491,31,Student,Reading,Instrumental Music,2,36,7,9,8
492,23,Student,Reading,Songs with Lyrics,10,78,3,6,9
493,27,Professional,Writing,Instrumental Music,1,34,1,4,10
494,39,Professional,Studying,Instrumental Music,8,12,4,7,10
495,43,Professional,Coding,Instrumental Music,2,106,9,8,5
496,23,Remote Worker,Coding,Silence,7,77,5,6,7
497,43,Student,Studying,Instrumental Music,9,34,1,5,10
498,41,Student,Writing,Silence,9,29,5,6,4
499,23,Remote Worker,Writing,Cafe Noise,8,43,8,5,1
500,43,Professional,Reading,Songs with Lyrics,10,35,8,8,3
